iter	MultiClass
0	1.367812092
1	1.224103166
2	1.129206601
3	1.053218256
4	0.9936540576
5	0.9558864425
6	0.9220089029
7	0.8905336418
8	0.8653366805
9	0.8442928856
10	0.8272543063
11	0.8110906096
12	0.7951669579
13	0.7808406768
14	0.7706913163
15	0.7603026885
16	0.7513441194
17	0.74127687
18	0.7285192099
19	0.7181720315
20	0.711605685
21	0.7049051033
22	0.6972670138
23	0.6814341911
24	0.6731723393
25	0.6659011976
26	0.6589794494
27	0.6536523595
28	0.6442391373
29	0.6323145699
30	0.6256806198
31	0.6227856698
32	0.6135764549
33	0.6097705231
34	0.6063108889
35	0.6034489988
36	0.5975885812
37	0.5932405262
38	0.5889594093
39	0.5814281392
40	0.577189439
41	0.5691338554
42	0.5624602096
43	0.5595919753
44	0.5522821036
45	0.548859
46	0.5403377511
47	0.533543005
48	0.5252212107
49	0.520892865
50	0.5134480301
51	0.5082677895
52	0.5049759602
53	0.4985891752
54	0.490752064
55	0.4869193243
56	0.4807261527
57	0.478476671
58	0.473828608
59	0.4711784353
60	0.4661344531
61	0.4637015049
62	0.4587300556
63	0.454868244
64	0.450074721
65	0.4485084484
66	0.445126611
67	0.4403043552
68	0.4358630039
69	0.4315299396
70	0.4272753756
71	0.4236772066
72	0.4209798481
73	0.4184878551
74	0.4162890289
75	0.4122657709
76	0.4085777125
77	0.4053019133
78	0.4016866596
79	0.4001382133
80	0.3968552578
81	0.3938586948
82	0.3904493561
83	0.3889737709
84	0.3861466635
85	0.382202894
86	0.3797521663
87	0.3754440831
88	0.3717625661
89	0.3685319912
90	0.3658754235
91	0.3628056144
92	0.3600782293
93	0.3586340219
94	0.3553685008
95	0.3526146113
96	0.3502584973
97	0.3479908576
98	0.3456020158
99	0.3422963713
100	0.3394069294
101	0.3370428593
102	0.3344937647
103	0.3327446058
104	0.3307926124
105	0.3282097823
106	0.3258999929
107	0.3244633063
108	0.3215408996
109	0.3189993815
110	0.3163523101
111	0.3137235624
112	0.3109632446
113	0.3092204219
114	0.3070819458
115	0.3055006007
116	0.3035735029
117	0.302008545
118	0.300547134
119	0.2980642895
120	0.2960147211
121	0.2944228783
122	0.2928483713
123	0.2915545901
124	0.2901035979
125	0.2897742879
126	0.2882981293
127	0.2871215274
128	0.2844016153
129	0.2827291024
130	0.2810551426
131	0.2796350327
132	0.2785107316
133	0.2768915063
134	0.275488238
135	0.2741967663
136	0.272946854
137	0.2716953691
138	0.2684631698
139	0.2673087601
140	0.2663654483
141	0.2643809651
142	0.262618411
143	0.2614495883
144	0.2608801067
145	0.2593573764
146	0.2580880173
147	0.2566882546
148	0.2542691347
149	0.2527816849
150	0.2514663132
151	0.2494459054
152	0.2478629364
153	0.2462771273
154	0.2461392312
155	0.2451588433
156	0.2432443281
157	0.2424809503
158	0.2416946368
159	0.2401628476
160	0.2387917581
161	0.2370023693
162	0.2356020644
163	0.2348360481
164	0.2342719351
165	0.2336003157
166	0.2323769256
167	0.23094377
168	0.2296366044
169	0.2284240942
170	0.2272332254
171	0.2255710706
172	0.2245281119
173	0.2238489632
174	0.2228714122
175	0.2217868379
176	0.2202956351
177	0.2194786295
178	0.2183083255
179	0.2183024427
180	0.2169415141
181	0.2156046623
182	0.2147636114
183	0.2132869888
184	0.2123337128
185	0.2113363478
186	0.2099930624
187	0.2092093566
188	0.2087293295
189	0.2082126597
190	0.2068104625
191	0.2062956439
192	0.2049696432
193	0.2039718374
194	0.2039406812
195	0.2033448792
196	0.2026534937
197	0.2011842335
198	0.2001109214
199	0.1991320912
200	0.1980370071
201	0.1971044266
202	0.1961913589
203	0.1957107064
204	0.1945689727
205	0.1933917876
206	0.1920749341
207	0.1914064329
208	0.1906722362
209	0.1901736823
210	0.1890031599
211	0.1880583717
212	0.1880508445
213	0.1875601066
214	0.1868052186
215	0.186477987
216	0.1864708117
217	0.1855484192
218	0.1849099602
219	0.1841720222
220	0.1830525641
221	0.1825245805
222	0.1813592566
223	0.180711433
224	0.1798554366
225	0.1792197166
226	0.1784847681
227	0.1784434439
228	0.1775469992
229	0.1768087807
230	0.1765228268
231	0.1756925143
232	0.1746603765
233	0.1736336243
234	0.1729229977
235	0.1722285899
236	0.1713111379
237	0.1705942791
238	0.1702533947
239	0.1695668654
240	0.1686474467
241	0.1678734838
242	0.1674741666
243	0.1665138015
244	0.1658459875
245	0.1648002704
246	0.1641796314
247	0.1629535255
248	0.1623805988
249	0.1617093372
250	0.1610986934
251	0.160444523
252	0.1599450528
253	0.1593331287
254	0.1586860168
255	0.1582049053
256	0.1575606627
257	0.1569567945
258	0.1564695811
259	0.1564646691
260	0.1559396309
261	0.1554169167
262	0.1546799128
263	0.1543113526
264	0.1537658876
265	0.1529749434
266	0.1524799295
267	0.1516638887
268	0.1510540664
269	0.1501991469
270	0.1497121952
271	0.148951168
272	0.148497493
273	0.1479375673
274	0.1473529594
275	0.1469170204
276	0.1466682265
277	0.1461986913
278	0.145430824
279	0.1447420405
280	0.1440535537
281	0.1435628823
282	0.142969295
283	0.1425243954
284	0.1419076763
285	0.141462371
286	0.1406904908
287	0.1400840483
288	0.1395309822
289	0.1387116684
290	0.1380675661
291	0.13736595
292	0.1365949552
293	0.1358864614
294	0.1354700083
295	0.1352654852
296	0.1344076836
297	0.1338966916
298	0.1334148007

653
