iter	Passed	Remaining
0	700	208820
1	1386	205935
2	2003	197673
3	2537	187170
4	3203	188346
5	3796	185401
6	4392	183230
7	5127	186527
8	5733	184746
9	6429	185818
10	7237	189482
11	7815	186920
12	8477	186513
13	9174	186763
14	9765	184895
15	10288	181985
16	10836	179757
17	11416	178223
18	12045	177519
19	12638	176302
20	13245	175342
21	13816	173964
22	14429	173155
23	15214	174333
24	15797	173143
25	16452	172754
26	17137	172645
27	17815	172427
28	18637	173525
29	19277	172854
30	19928	172281
31	20534	171335
32	21146	170452
33	21627	168570
34	22235	167720
35	22780	166421
36	23444	166011
37	24185	166118
38	24784	165227
39	25484	165010
40	26194	164835
41	26892	164555
42	27578	164188
43	28218	163541
44	28876	162992
45	29545	162498
46	30320	162571
47	30924	161709
48	31421	160311
49	31922	158976
50	32404	157575
51	32880	156182
52	33435	155190
53	33884	153737
54	34408	152649
55	34804	151028
56	35301	149877
57	35735	148487
58	36232	147385
59	36672	146077
60	37150	144947
61	37577	143642
62	38082	142657
63	38564	141604
64	39044	140560
65	39563	139670
66	40010	138542
67	40559	137783
68	41027	136757
69	41525	135847
70	41933	134659
71	42417	133732
72	42928	132902
73	43416	132010
74	43894	131098
75	44342	130111
76	44825	129236
77	45377	128569
78	45840	127655
79	46338	126851
80	46782	125909
81	47260	125067
82	47739	124236
83	48262	123529
84	48743	122719
85	49250	121979
86	49749	121229
87	50217	120408
88	50643	119495
89	51101	118669
90	51599	117942
91	51996	116992
92	52503	116297
93	52978	115538
94	53483	114848
95	53998	114184
96	54402	113292
97	54887	112575
98	55392	111903
99	55895	111232
100	56351	110470
101	56843	109785
102	57359	109150
103	57895	108553
104	58337	107784
105	58816	107089
106	59214	106253
107	59614	105429
108	60127	104809
109	60555	104044
110	61060	103416
111	61573	102806
112	62108	102230
113	62605	101596
114	63074	100918
115	63463	100119
116	63921	99432
117	64362	98726
118	64792	98005
119	65293	97395
120	65824	96833
121	66278	96157
122	66770	95542
123	67256	94918
124	67714	94258
125	68118	93527
126	68654	92980
127	69126	92348
128	69561	91670
129	70012	91016
130	70536	90459
131	70948	89760
132	71457	89187
133	72018	88679
134	72508	88084
135	73003	87496
136	73485	86895
137	73958	86284
138	74591	85860
139	74962	85135
140	75345	84429
141	75683	83678
142	75994	82903
143	76273	82100
144	76545	81296
145	76822	80505
146	77155	79779
147	77502	79073
148	77831	78354
149	78150	77629
150	78441	76883
151	78807	76215
152	79131	75510
153	79460	74816
154	79735	74076
155	80023	73355
156	80370	72691
157	80739	72052
158	81049	71364
159	81361	70683
160	81657	69992
161	82003	69348
162	82328	68691
163	82679	68059
164	82936	67354
165	83209	66668
166	83572	66057
167	83906	65426
168	84225	64788
169	84532	64145
170	84822	63492
171	85121	62851
172	85444	62231
173	85700	61566
174	86004	60940
175	86365	60357
176	86670	59739
177	86965	59117
178	87321	58539
179	87603	57915
180	87912	57313
181	88268	56743
182	88555	56133
183	88933	55583
184	89284	55018
185	89617	54445
186	89958	53878
187	90305	53318
188	90593	52726
189	90914	52156
190	91224	51582
191	91524	51005
192	91875	50459
193	92249	49928
194	92549	49359
195	92871	48804
196	93224	48268
197	93558	47724
198	93915	47193
199	94254	46656
200	94603	46125
201	94950	45595
202	95327	45081
203	95692	44562
204	96023	44030
205	96388	43514
206	96704	42979
207	97035	42453
208	97359	41925
209	97708	41409
210	98033	40885
211	98402	40381
212	98767	39877
213	99037	39337
214	99388	38830
215	99711	38315
216	100088	37821
217	100442	37320
218	100745	36801
219	101064	36291
220	101366	35776
221	101729	35284
222	102079	34789
223	102426	34294
224	102760	33796
225	103118	33308
226	103481	32822
227	103781	32317
228	104101	31821
229	104402	31320
230	104705	30822
231	105007	30325
232	105288	29824
233	105609	29335
234	105964	28858
235	106251	28363
236	106601	27887
237	107001	27424
238	107325	26943
239	107662	26467
240	107902	25968
241	108218	25489
242	108578	25022
243	108888	24544
244	109234	24076
245	109548	23601
246	109960	23149
247	110204	22663
248	110454	22179
249	110704	21698
250	110929	21213
251	111184	20736
252	111398	20254
253	111626	19776
254	111885	19305
255	112081	18826
256	112275	18348
257	112479	17874
258	112722	17408
259	112934	16940
260	113152	16474
261	113401	16014
262	113637	15554
263	113893	15099
264	114156	14646
265	114381	14190
266	114645	13740
267	114920	13293
268	115155	12842
269	115450	12400
270	115678	11952
271	115917	11506
272	116149	11061
273	116402	10620
274	116604	10176
275	116824	9735
276	117023	9294
277	117261	8857
278	117531	8425
279	117817	7994
280	118055	7562
281	118285	7130
282	118496	6699
283	118743	6271
284	118998	5845
285	119193	5417
286	119400	4992
287	119592	4567
288	119809	4145
289	120017	3724
290	120244	3305
291	120443	2887
292	120663	2470
293	120876	2055
294	121036	1641
295	121249	1228
296	121435	817
297	121656	408
298	121883	0
136132	916
297	136404	457
298	136696	0
