y_true,y_pred,prob_class_Bundesliga,prob_class_Bundesliga 2,prob_class_EFL Championship,prob_class_LaLiga,prob_class_LaLiga 2,prob_class_Ligue 1,prob_class_Ligue 2,prob_class_Premier League,prob_class_Serie A,prob_class_Serie B,erreur,pays_true,pays_pred,meme_pays
EFL Championship,Premier League,0.0155097193026675,0.0093547075009584,0.3971661813316738,0.1242418514979784,0.0018400023268169,0.0215165214493621,0.0008359006791713,0.4176535908360607,0.0035864101255794,0.0082951149497312,True,Angleterre,Angleterre,True
Ligue 2,Serie B,0.0057640149462064,0.2690580311778068,0.0777656702141242,0.0012581661139264,0.1714053249970441,0.0042187029284057,0.1452197794270417,0.0092137551369831,0.013290940034303,0.302805615024158,True,France,Italie,False
EFL Championship,Premier League,0.0079761882550718,0.0377691145133924,0.2632117442908874,0.004748676610233,0.0255045002449405,0.0125602029253547,0.0197612830243598,0.5839209369963516,0.0129501666538698,0.0315971864855386,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.0072900130704524,0.0033784568268953,0.7605781190359553,0.0180116533348502,0.0029897821932722,0.0018356474708626,0.0022509057681187,0.1903508049056843,0.0108317423654186,0.0024828750284902,True,Angleterre,Angleterre,True
LaLiga,EFL Championship,0.0144479618742302,0.0038407717982691,0.5654608337538669,0.2736249488047067,0.0142896757772807,0.0130774716986957,0.0403461453386754,0.0689298955095442,0.0046215479556696,0.0013607474890614,True,Espagne,Angleterre,False
Ligue 2,EFL Championship,0.0028363539463988,0.0289706474526421,0.652312884512078,0.0017862613233057,0.1619249576688401,0.0162253775350279,0.0844789219618054,0.0191199754217782,0.0144032071895608,0.0179414129885623,True,France,Angleterre,False
LaLiga 2,EFL Championship,0.0077909622617781,0.0311178050857731,0.7829619510053372,0.0022181064565877,0.0103978015752801,0.0120040414613536,0.0119136227106161,0.0195252764487188,0.0137029492054861,0.108367483789069,True,Espagne,Angleterre,False
Serie B,Serie A,0.3325142728714932,0.0321776493055268,0.0021734362166838,0.0447383405313373,0.0020448806702266,0.0767969620471742,0.00046754473846,0.00225188850399,0.442140370354933,0.0646946547601747,True,Italie,Italie,True
LaLiga,LaLiga 2,0.0155557003703247,0.0108808518994638,0.01676467139041,0.183183942953529,0.6674635798754028,0.0109549515385463,0.03519599167247,0.0054928679718422,0.0347679968863998,0.019739445441611,True,Espagne,Espagne,True
Ligue 1,Serie A,0.0037266065128748,0.0107752217073492,0.0024105497740843,0.0551740719389968,0.2307680940934011,0.2959862037341874,0.0066443208365757,0.0040609254789282,0.3601051230213685,0.0303488829022335,True,France,Italie,False
