y_true,y_pred,prob_class_Bundesliga,prob_class_Bundesliga 2,prob_class_EFL Championship,prob_class_LaLiga,prob_class_LaLiga 2,prob_class_Ligue 1,prob_class_Ligue 2,prob_class_Premier League,prob_class_Serie A,prob_class_Serie B,erreur,pays_true,pays_pred,meme_pays
EFL Championship,Premier League,3.1818470826415696e-05,7.872443818936133e-05,0.1338479020157614,3.622864666597784e-05,9.022433072699236e-05,3.1248490687378624e-05,6.610273946806797e-05,0.865009841906647,1.1388394229564222e-05,0.0007965205667977,True,Angleterre,Angleterre,True
Premier League,EFL Championship,9.329470686540274e-05,3.848402337543803e-05,0.9792455491300376,0.0003472710213181,9.48361857226655e-05,5.515122528216961e-05,5.831566854307148e-05,0.0200097156699058,1.10523034770158e-05,4.633006547297957e-05,True,Angleterre,Angleterre,True
EFL Championship,Premier League,0.0005512757235751,9.849739853669944e-05,0.3725124365866445,0.0008056210919637,0.0003428501230164,0.0009617852533418,0.0001010055669528,0.6243625247597552,3.2325219125221555e-05,0.0002316782770882,True,Angleterre,Angleterre,True
LaLiga 2,LaLiga,4.064495489866586e-05,0.0005637230173654,0.0016772659829516,0.5793799959570428,0.4150980461033339,9.2716420813467e-06,0.0009857321591777,0.0008852492928408,9.567164571844286e-06,0.0013505037257357,True,Espagne,Espagne,True
Ligue 2,LaLiga 2,1.113439323343008e-05,0.0003382366583818,0.0262607997117318,1.2456673589478982e-06,0.9314221750295528,0.0001212933878118,0.0416829555237918,2.1189342613754377e-05,2.613497811758102e-05,0.0001148353074057,True,France,Espagne,False
LaLiga 2,LaLiga,6.14516182093164e-05,0.0016160947426896,0.084479338144675,0.5459244049619959,0.326841500624862,0.0003179506419011,0.0005327844903283,0.0055094596729748,0.0310501240369499,0.0036668910654138,True,Espagne,Espagne,True
Bundesliga 2,Bundesliga,0.9696168173453236,0.0253653552794756,0.0043908492862312,7.382138793445107e-05,8.33874124229402e-05,4.414677466614951e-05,0.000127658601923,0.0002097450381573,5.077705959307247e-05,3.744181427269941e-05,True,Allemagne,Allemagne,True
Serie B,Serie A,2.093588093434354e-06,2.7437060291730508e-06,5.317496617427713e-06,2.6252833790828365e-06,9.056416950805207e-06,4.911830898103186e-07,8.411120851239972e-08,1.6953709673936022e-06,0.9998910275632178,8.486528044660201e-05,True,Italie,Italie,True
LaLiga 2,EFL Championship,0.0003101362279933,0.0015765914198826,0.5843895047622896,0.0003871242215264,0.3716434799113505,0.0100011013856477,0.002115008330619,0.0092017506655685,0.0016708673400199,0.0187044357351024,True,Espagne,Angleterre,False
Premier League,EFL Championship,2.852116594291319e-05,9.840675742659564e-05,0.8777970192224398,6.758383183469603e-05,3.196422416170168e-05,3.6871318856362862e-06,0.0002076893011231,0.1217225425648465,1.4587382660193469e-05,2.7998417678708035e-05,True,Angleterre,Angleterre,True
Serie A,Serie B,1.7862254540013215e-05,2.976681279022693e-05,0.0014445254581441,7.469418238157687e-06,3.043633278644446e-05,3.803808891288248e-05,0.0001415269746836,0.0009179264299615,0.0246688719032345,0.9727035763267082,True,Italie,Italie,True
EFL Championship,Premier League,7.333047389302793e-06,1.6049930210936194e-05,0.4838592948946447,4.125875796396546e-06,3.462112088429765e-06,2.9571127909447188e-06,5.84962855052611e-05,0.5160397503211994,2.2598034153474e-06,6.270616959171584e-06,True,Angleterre,Angleterre,True
LaLiga,LaLiga 2,0.0004716175916637,0.0002853881453345,0.0001975723062288,0.4633380637507766,0.5311039800976144,0.0008841990118055,0.000483029207376,0.0021743754368688,0.0001178749852872,0.000943899467044,True,Espagne,Espagne,True
Serie B,Premier League,0.0023927077282582,0.0019306666822674,0.0098943257437422,0.0122200110165214,0.0017725798984183,0.0010797912185192,0.0142979766620216,0.9261642078337134,0.0206421845521126,0.0096055486644252,True,Italie,Angleterre,False
Serie A,Serie B,0.0001867157455152,0.0112670872557638,0.0015365724859698,0.0001970317174696,0.0005154229409605,0.000782159511449,4.155223757469785e-05,0.000304729510699,0.0400503262504928,0.9451184023441052,True,Italie,Italie,True
LaLiga 2,LaLiga,0.0003725981217148,0.0002359160727607,0.0002433461226638,0.6218247684647261,0.3728091651581539,0.0004204871374544,0.0003082062517187,0.0035723594485841,0.0001866467953744,2.6506426848605025e-05,True,Espagne,Espagne,True
Bundesliga 2,Bundesliga,0.9626250333015864,0.0192528979631127,0.0047124379419642,0.0025496190903572,0.0007753041988076,0.000668191245227,3.5472733644892404e-05,0.0068326814863728,0.0002187423642976,0.0023296196746289,True,Allemagne,Allemagne,True
Bundesliga,Bundesliga 2,0.0092538584916259,0.971721236619618,0.0131973063014574,1.6839920979668524e-05,3.479257612176029e-05,0.0002029135230354,0.000182478888671,0.0051771286352728,6.917874755204398e-07,0.0002127532557421,True,Allemagne,Allemagne,True
LaLiga,LaLiga 2,0.0063409926645958,0.0023272940970126,0.0006107970861227,0.3958887506235939,0.5820404585268788,0.0023811757349018,0.0039158145303799,0.0063684976064459,2.32312817543321e-05,0.0001029878483139,True,Espagne,Espagne,True
Premier League,EFL Championship,8.73402182944004e-05,0.0001129925782674,0.7107184173874992,0.0010419569875177,0.0004567648674414,9.22122163512359e-05,8.677271188337232e-05,0.287352865268206,1.8304474768703904e-05,3.237328977078751e-05,True,Angleterre,Angleterre,True
LaLiga 2,Ligue 2,2.193393665480284e-05,0.0358905167179555,0.2085829833630178,0.0040434123988592,0.2147977259877291,0.0001143451087298,0.5263455712492008,0.0001472643148156,0.0004424421739436,0.0096138047490934,True,Espagne,France,False
Ligue 2,Ligue 1,5.12899981683424e-05,0.0024891078082107,0.0212649897700564,9.007909169385125e-05,0.0380361812882744,0.7580538540975628,0.1757357168350896,0.0020900777035658,6.337938265550016e-05,0.0021253240247224,True,France,France,True
Premier League,EFL Championship,0.0009898940417858,9.386363206130662e-05,0.9214477825262384,0.0001686904502878,3.9426615676772976e-05,0.0002324026254977,5.716788078145912e-05,0.0769554306281504,8.892170231952736e-06,6.449429288431229e-06,True,Angleterre,Angleterre,True
Premier League,EFL Championship,2.117848611971842e-05,0.0001903737920377,0.5794463725815855,0.0001362135824495,1.017877552080336e-05,3.997703271580498e-05,0.0001295224352434,0.4199463085445798,8.04410671776727e-06,7.183066302980548e-05,True,Angleterre,Angleterre,True
Premier League,EFL Championship,3.803035663749704e-05,0.0021038873207784,0.8711439208874321,3.721070870962991e-05,0.000237793517302,7.128696227896413e-05,0.0002930836835946,0.1229638974881063,0.0007664645339886,0.0023444245411713,True,Angleterre,Angleterre,True
LaLiga 2,LaLiga,8.977501175897478e-05,0.0004817320761237,0.0002524852519069,0.6799623278581025,0.3180593079137483,0.0002497080587117,4.281969401271469e-06,0.0006352706642561,1.0391321234127788e-05,0.000254719874756,True,Espagne,Espagne,True
EFL Championship,Premier League,7.905682801107146e-07,0.0004122097456956,0.0257385445858402,1.2032020606501342e-05,0.0002416495990762,4.154462698308199e-07,0.0001077639535303,0.9727535229664478,0.0004447348300987,0.0002883362841544,True,Angleterre,Angleterre,True
LaLiga 2,Ligue 2,4.628115116325514e-05,0.1602776628785479,0.0502956163335557,8.746110155244447e-07,0.1015534592379423,4.945677577994064e-06,0.6783289535985308,6.069635312415918e-06,2.6453119494217868e-05,0.0094596837568596,True,Espagne,France,False
Premier League,EFL Championship,0.0001222471377807,0.0009704438584906,0.8348455015604737,6.219952886451015e-05,0.001275788349558,0.000127610870694,0.0010018442887635,0.161166112081494,9.636229490382676e-05,0.0003318900289766,True,Angleterre,Angleterre,True
Premier League,EFL Championship,1.1273021603525613e-05,7.170626050157839e-06,0.983691189216894,5.808900392174055e-05,1.1484255313036057e-05,1.9045240457424532e-05,2.979908173525054e-06,0.0161761840307372,1.3451282380574336e-05,9.133414468339065e-06,True,Angleterre,Angleterre,True
LaLiga 2,LaLiga,0.006326242927316,0.0153200635089896,0.0189892871196269,0.7041083884904872,0.2451558179297829,0.0052020780958612,0.0001888491824925,0.0002550776957684,0.0002156050867714,0.0042385899629035,True,Espagne,Espagne,True
Serie A,Serie B,9.987955004786248e-05,0.0067239724356355,0.0269487972835938,0.0001665038160636,0.344902515652172,0.0002399624754396,0.0001932896170836,0.0005071636508202,0.0985500549250995,0.521667860594044,True,Italie,Italie,True
LaLiga 2,LaLiga,6.615314291966905e-05,0.0071748454312741,0.152549816427073,0.4643412847930347,0.3671289601684189,0.0001002591298857,0.001596848894441,0.0066072492002038,3.0107851456898116e-05,0.0004044749612916,True,Espagne,Espagne,True
Bundesliga,Bundesliga 2,0.0422677900062087,0.9552089925603784,0.0012100528076919,8.313028064300083e-05,0.0002791031112005,4.19070941162038e-06,0.0002493364841522,1.1255389427813948e-05,0.0001308349174803,0.0005553137334056,True,Allemagne,Allemagne,True
Bundesliga 2,EFL Championship,0.0014320275662555,0.0982312645763232,0.4293066859797123,0.0045412446847815,0.0109938645522064,0.0006327256285891,0.1192812639067179,0.0038969563881929,0.0013844476386942,0.3302995190785266,True,Allemagne,Angleterre,False
Ligue 2,EFL Championship,1.940152007156402e-05,0.00789857204045,0.8459568781213219,8.08466009769878e-06,0.0537633927591054,2.3138206771364077e-05,0.0913068953255206,0.0003913119131536,4.504760781278383e-05,0.0005872778456951,True,France,Angleterre,False
Serie A,Serie B,0.0011647194665588,0.0026858871497044,0.0038686446026765,2.0253187105347906e-05,0.0001677112742851,4.403324473544051e-06,0.0004491921986547,2.8439589993161663e-05,0.0296102935921145,0.9620004556144338,True,Italie,Italie,True
Premier League,EFL Championship,1.8591618162919783e-05,8.43117660860446e-05,0.8021172186287809,1.1623155140590272e-05,1.538459341183287e-05,2.232280420367865e-05,8.045782852281561e-05,0.1974936236627506,0.0001147859587986,4.16799841418154e-05,True,Angleterre,Angleterre,True
Bundesliga,Bundesliga 2,0.0982469683572533,0.882717225223976,0.0008968158373464,0.0050113825961233,0.0053467423719514,0.0007947041681077,0.0049522602664896,0.000352646858763,1.033797926003314e-05,0.0016709163407289,True,Allemagne,Allemagne,True
LaLiga 2,LaLiga,1.1570611648135458e-05,0.0003435170267683,0.0006216414854538,0.8810260563315585,0.1159134908123769,1.0431043268738226e-05,0.0007666366623482,0.000707865129947,5.5366655552175e-05,0.000543424241078,True,Espagne,Espagne,True
Bundesliga 2,Serie A,0.0172013057777636,0.2569322548687622,0.0108648666602149,0.0007408003520149,0.0069169011607276,5.70346036814362e-05,0.1186102252612559,5.4503421068611e-05,0.5618072492245282,0.0268148586699825,True,Allemagne,Italie,False
Premier League,EFL Championship,0.0002900558460216,0.0003236039434956,0.6449989229113833,0.0026297197830205,0.0011165233459132,0.0042971118496559,0.0001302018450124,0.3453184799764148,0.0003909605852472,0.0005044199138353,True,Angleterre,Angleterre,True
EFL Championship,Premier League,1.775372441456732e-05,2.0849482145755585e-05,0.3355110731705247,1.4203103711480374e-05,9.022626303641414e-05,1.96456697717006e-05,9.01209625826755e-05,0.6639937035716812,1.4617314300250838e-05,0.000227806737831,True,Angleterre,Angleterre,True
Serie B,Serie A,0.0029685758071994,0.0255414991657594,0.0022292834743828,0.0003451507585514,0.0024148896055838,1.7301438755083086e-05,5.482335131918993e-05,2.3161647684860423e-05,0.663940939200869,0.3024643755498947,True,Italie,Italie,True
EFL Championship,Premier League,7.43959689894132e-05,7.31713242850058e-05,0.0633803893690698,9.069942337483747e-05,6.861539215204569e-06,0.0002057993351021,2.8207464689373216e-05,0.9361274917574192,6.726905789355151e-07,1.2311127276064668e-05,True,Angleterre,Angleterre,True
Serie A,Serie B,0.0001864910901238,0.0032826802186469,0.1036148503927031,3.921374769550773e-05,0.008401024527582,9.754663569418148e-05,0.0212309282896987,4.99165826441557e-05,0.099422211754283,0.7636751367609284,True,Italie,Italie,True
EFL Championship,Premier League,0.0003780657466221,0.0009577900597911,0.2454832101639307,9.638900752959534e-05,8.276932470975722e-05,0.0003072511020801,9.281819798651392e-05,0.7525681819455039,4.8996165304821245e-06,2.862483531552153e-05,True,Angleterre,Angleterre,True
Bundesliga 2,EFL Championship,0.000167274204215,0.3867635071343848,0.6021390141826163,0.0040788944973769,4.870893177702567e-06,9.866478393081334e-06,4.788781891271291e-05,0.0067794640231001,4.566254013642289e-06,4.654513809466104e-06,True,Allemagne,Angleterre,False
Serie B,Serie A,9.441097021279e-06,0.0011568026603196,0.0058586876457332,1.970136177387168e-05,0.0007015210703722,9.314636057923378e-05,0.0003028740643428,0.0001888845337753,0.6329322347834845,0.3587367064225978,True,Italie,Italie,True
Bundesliga 2,Premier League,0.1287862349710627,0.0519917440867124,0.0460330272967263,0.0087826264924554,0.0012495718841672,0.0002010734124976,0.0030277162980638,0.7592279413972883,4.9902159619032094e-05,0.000650162001407,True,Allemagne,Angleterre,False
Premier League,EFL Championship,0.0013351240388809,0.0011738450290652,0.6769881789219014,0.000537147373417,0.0002788253261834,0.0003569255609079,0.0011281163019939,0.3179861399622944,4.289155104335212e-06,0.0002114083302509,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.000582082727243,0.0007314324879328,0.9757816013505588,2.655230422600304e-05,0.0001193911273008,0.000179380232765,2.2317742828793807e-05,0.0225296397662412,9.100510429687672e-06,1.850175047382105e-05,True,Angleterre,Angleterre,True
EFL Championship,Premier League,0.0001125858160939,0.0014355776350354,0.3166462140885827,0.0002637253731528,0.0042067649533768,0.0005221714095927,0.003357440118841,0.6727577266811122,0.0001671410849668,0.0005306528392453,True,Angleterre,Angleterre,True
Bundesliga 2,Bundesliga,0.7589499278136477,0.2316711535832726,0.0019160999039747,0.0026808406460269,0.0003723188869495,0.0002777750770671,1.4526122516600504e-05,0.0035008432638077,0.0006013662149296,1.5148487807263754e-05,True,Allemagne,Allemagne,True
Premier League,EFL Championship,0.000205561330013,0.0005180075881705,0.5182475524913555,3.954426791180303e-05,9.31145548665764e-05,7.013322519522491e-05,4.78083241086168e-05,0.480743651132302,2.5618919661895565e-05,9.008166414819917e-06,True,Angleterre,Angleterre,True
LaLiga,LaLiga 2,0.0003604139377274,0.0003709913339307,0.0718043306181173,0.0325670735713325,0.6948350576629534,0.0003984786113542,0.0002053844169722,0.1987547637345177,0.0004134587580603,0.0002900473550339,True,Espagne,Espagne,True
Premier League,EFL Championship,0.0001270698997848,0.0003437033825691,0.7931966692220317,3.420206419295933e-05,3.41941149788415e-05,4.30378906342023e-05,8.207516693567341e-06,0.2058658417987449,0.0001597999575476,0.0001872741528224,True,Angleterre,Angleterre,True
Serie A,Serie B,5.3607646872183386e-05,0.0066615797042497,0.0028874481527118,2.0215083446258237e-05,0.0040969690897015,0.0001475135606775,5.177863395934678e-05,0.0008630483457072,0.0226939460514933,0.9625238937311807,True,Italie,Italie,True
EFL Championship,Premier League,0.0005739654339528,1.5423670558597026e-05,0.1261018014330142,3.0276078423355896e-05,4.03466115610756e-06,3.285906700589564e-05,2.949551987002421e-05,0.8731701194055398,5.845996643301922e-06,3.617873383572649e-05,True,Angleterre,Angleterre,True
EFL Championship,Premier League,1.5480158865255956e-05,0.0003037975025156,0.4075083865150319,8.76694672105451e-05,0.0007113305909434,0.0001026986622108,0.0004213729211564,0.5897592743312198,8.675922857972673e-05,0.0010032306222663,True,Angleterre,Angleterre,True
Serie B,Bundesliga 2,0.0003623009242936,0.9237578533281524,0.0141690612940636,9.200474318641884e-05,0.0005358051307828,0.0003405351470425,3.237810384555761e-05,0.0114851217461845,0.0162386432796379,0.0329862963028102,True,Italie,Allemagne,False
Premier League,EFL Championship,0.0040307221968005,0.0010507481907828,0.6141368005520956,0.0003767040286462,0.0001993501719861,0.0025792531684608,0.0006154082976696,0.3768885287522566,1.985632870634663e-05,0.000102628312595,True,Angleterre,Angleterre,True
Ligue 2,Ligue 1,3.5545175427949903e-06,0.0003680959790475,0.0035428298533526,2.4817289187072763e-05,2.396533449627654e-05,0.8988091031167512,0.0868709077040594,0.0097171307310346,0.000187590624919,0.0004520048496092,True,France,France,True
Ligue 2,Ligue 1,0.000310075596744,0.0006718752383275,0.000271807756508,4.661410545083458e-05,9.618463285204036e-05,0.9563312909940402,0.0403686786827042,0.0018382313278135,4.1639754894634574e-05,2.3601910664637625e-05,True,France,France,True
Premier League,EFL Championship,0.0003104309481742,8.132014931282758e-05,0.5369716481155105,7.44787778937825e-05,0.0001187441537403,0.0001797818268205,0.0001106387034837,0.4620127256003127,8.415626294607323e-06,0.0001318160984567,True,Angleterre,Angleterre,True
Serie A,Serie B,0.0003236933543356,0.0006397552225122,0.0001879888099302,0.0183130894362738,0.0061410263834727,0.0005869609021978,0.0013256543866251,0.0010294323971408,0.3520723809422701,0.6193800181652412,True,Italie,Italie,True
EFL Championship,Premier League,2.402061734256426e-05,0.0028613865277366,0.3770580372022981,0.0002343832717597,5.563418642969902e-05,0.0001226636431257,9.0892620108614e-06,0.6190080526626914,0.0005614769640432,6.525566256212655e-05,True,Angleterre,Angleterre,True
LaLiga 2,LaLiga,0.0002744577528315,0.0015546280842554,0.029401990271948,0.492499697196437,0.4636507014623187,0.0002718823746848,0.000706399028221,0.0022995331682957,0.0035404520267299,0.0058002586342776,True,Espagne,Espagne,True
Serie B,EFL Championship,0.0002751676466164,0.034702497400194,0.5579311022735873,7.332972704531332e-05,0.0033453685537577,8.169364881633413e-05,0.0051507739791343,0.0006102947105916,0.2825362544497502,0.1152935176105065,True,Italie,Angleterre,False
Ligue 2,Serie B,0.0008108552473069,0.0497600111422606,0.0890396512608742,0.0007168238817599,0.003180324048914,0.2261754874905262,0.0559376129563541,0.0351489706533479,0.2539838944533903,0.2852463688652653,True,France,Italie,False
EFL Championship,Premier League,0.0020716360407543,0.0003358042831818,0.2330935956404095,4.824221257745477e-05,1.473274498916694e-05,0.0005079742094142,0.000158789976312,0.7636993647600777,3.186655109657613e-06,6.667347717401237e-05,True,Angleterre,Angleterre,True
EFL Championship,Premier League,0.0009044455881594,9.928229492390998e-05,0.4978690983487567,1.3266979658238066e-05,3.543114760701765e-05,0.0002017112656583,9.379664828770072e-05,0.5007160872289145,6.501999537152859e-06,6.037849849694828e-05,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.0007219897723042,3.072015222365415e-05,0.6660088566904521,0.0001612013380555,1.054387751259691e-05,0.0001227130690766,7.623402861756376e-06,0.3328875460016174,5.903775802895035e-06,4.2901920093163634e-05,True,Angleterre,Angleterre,True
Ligue 2,Ligue 1,4.717332155508295e-06,0.0001885593608544,0.0055487496199329,2.5788096210014703e-06,0.0005512832117793,0.9739380541127852,0.0181607016214714,0.0013640052386342,5.406681051791655e-06,0.000235944011714,True,France,France,True
Premier League,EFL Championship,0.0012503829868141,5.53559314816973e-05,0.7316313312510941,0.0009358592364635,3.4910388645634726e-06,0.0002426797519948,3.37502484820087e-05,0.2657963346625948,3.907020576928558e-05,1.1744686441059428e-05,True,Angleterre,Angleterre,True
Ligue 2,Ligue 1,0.0003795858141633,0.0015108736445441,0.0010048154162188,0.0044718451683723,0.0030930619328623,0.9456822001379688,0.0393205537571046,0.0020352060513893,0.0001621850624104,0.0023396730149658,True,France,France,True
Ligue 1,Ligue 2,0.000391864315443,0.0030824964963301,0.0779095493797478,0.0023895763205589,0.0040890179557594,0.2930007727041762,0.6118804882503632,0.0069124573877446,4.210996960796416e-05,0.0003016672202686,True,France,France,True
Premier League,EFL Championship,0.0005800791106564,0.001122340146957,0.7817932395525811,0.002555865628892,0.0007144823114483,0.0019374126122989,0.0009450012030507,0.2100941924079777,5.23523158109059e-05,0.0002050347103267,True,Angleterre,Angleterre,True
LaLiga 2,LaLiga,1.4349275334967095e-05,8.51197000006124e-05,0.000175711886462,0.9044081700444044,0.0864052327719355,6.376390280744877e-05,8.942901151405994e-05,0.0085245236080638,4.874722837617384e-05,0.0001849525711011,True,Espagne,Espagne,True
Serie B,Serie A,0.0041166332770719,0.0012552884733016,0.00024506172066,0.0005345245297731,0.0003520285615522,0.000313547946132,4.389763887621516e-06,0.0013709551823875,0.7582395025125671,0.2335680680326666,True,Italie,Italie,True
Premier League,EFL Championship,2.692646833238072e-05,8.63091203691495e-05,0.5648099556408477,0.0004877356869997,0.0004932681395718,8.4033153156703e-05,0.0001538956974349,0.4335938678010446,0.0001188884091334,0.0001451198831094,True,Angleterre,Angleterre,True
Premier League,EFL Championship,5.8376683330094906e-05,2.5840314967119036e-05,0.8786478030068678,4.454753197647704e-05,3.877358220174606e-05,3.306121285129324e-05,1.8177248784961733e-05,0.1211132748517294,6.503121839261606e-06,1.3642445451576329e-05,True,Angleterre,Angleterre,True
LaLiga 2,LaLiga,0.0001896559070807,0.0008477136962585,0.0001855796266535,0.6552248115717453,0.3385667814937761,0.0005457847571365,1.6050489718503783e-05,0.0038501754545297,4.614025038932199e-05,0.0005273067527115,True,Espagne,Espagne,True
Ligue 1,Ligue 2,6.802656368117648e-06,0.0003818544613989,0.0004232573840839,5.376066550931279e-06,0.0001198404572744,0.0590679081494201,0.9386597571208426,0.0007919723431207,5.495010563385042e-05,0.0004882812553063,True,France,France,True
Premier League,EFL Championship,0.0007672006440968,0.000186700073567,0.6066139461559849,0.0029460504990675,0.0006599417775767,0.000852138260895,0.0002557246911825,0.3874670912544028,7.65945745076868e-05,0.0001746120687189,True,Angleterre,Angleterre,True
Ligue 2,Ligue 1,0.001679172254964,0.0027856291082782,0.0029090485050903,8.612902350939357e-05,0.0002518641105995,0.7889175003794395,0.2025862208668876,0.0005636309872011,0.0001093973823673,0.0001114073816627,True,France,France,True
EFL Championship,Premier League,4.599278785272568e-05,0.0001224782256945,0.4745527536465514,3.296251245850797e-05,0.0001211321175188,9.24327682192872e-05,8.680680585798037e-05,0.5229882131795679,0.0001731935187483,0.0017840344375302,True,Angleterre,Angleterre,True
EFL Championship,Premier League,9.61503452185302e-06,0.0005798009252183,0.4814058029188842,0.002137877558148,0.0009717612988349,1.0526699355822123e-05,0.0003971002308682,0.5139689480884208,0.000130516748629,0.0003880504971188,True,Angleterre,Angleterre,True
EFL Championship,Premier League,0.0005131931719364,0.0002692628761739,0.3754567241983007,0.0030765267979461,0.0016134741211,0.0002557126680175,0.0008007722532734,0.6168236048089821,2.9601446616951172e-05,0.0011611276576523,True,Angleterre,Angleterre,True
Premier League,EFL Championship,5.780319395102864e-05,0.0013287127152736,0.5578097777412672,0.004356403223601,0.0115940643020809,2.3855644418243825e-05,0.0055038552403677,0.4181008982520091,0.000627996614374,0.0005966330726571,True,Angleterre,Angleterre,True
Premier League,EFL Championship,4.069755226411859e-05,0.0021751729520945,0.6948673218896805,6.56802912145166e-05,0.0001299059821327,4.495608379425849e-06,0.0005522707904108,0.3019241932765016,0.0001131456303069,0.0001271160270144,True,Angleterre,Angleterre,True
EFL Championship,LaLiga 2,0.0002073756361498,0.1391678898049645,0.1724683004740575,0.0016434235684962,0.6128953629908411,0.0440350324716639,0.0033964905853072,0.0027445593354658,0.0118330997248522,0.0116084654082013,True,Angleterre,Espagne,False
Premier League,EFL Championship,4.2780978881005866e-06,0.0006971264266579,0.6614095459661145,3.2139637040706096e-06,0.0008555088787879,0.0006087371940625,0.0019020532389222,0.3080943874328531,0.0001964285673229,0.0262287202336863,True,Angleterre,Angleterre,True
EFL Championship,Premier League,2.024197689987156e-05,0.0002847320985194,0.4412297031258709,1.690769837619089e-05,7.422833391876004e-05,0.0001607923310099,0.0001631309372189,0.5577321356348732,2.8453947758706236e-05,0.0002896739155538,True,Angleterre,Angleterre,True
Ligue 2,Ligue 1,1.3046421033994068e-05,5.244025424849922e-05,0.0010271224942519,3.2095320750726597e-06,0.0005064295148339,0.97895184544796,0.0175264821296062,0.0005002044745497,0.0010028385155114,0.0004163812159288,True,France,France,True
Ligue 2,EFL Championship,1.99161126255219e-05,0.0195933208354923,0.5708925212865553,3.117319920338316e-06,0.1156468992396549,2.1356541845061915e-05,0.2918331472483924,1.5753677170802464e-05,1.1489610325982024e-05,0.0019624781280169,True,France,Angleterre,False
Ligue 2,EFL Championship,0.0003900067051644,0.0291873914956417,0.7627640118104421,0.0001226968135484,0.0022433489271409,0.0031674698749608,0.1817720202529205,0.0115841378455719,0.0010492156511258,0.0077197006234831,True,France,Angleterre,False
Premier League,EFL Championship,0.000545990943658,0.0003253292231284,0.5632517739628997,7.627323773047904e-05,4.307473320730334e-05,0.0003928480747705,8.830571991736157e-05,0.4352436371863601,1.1891787622690413e-05,2.0875130705194337e-05,True,Angleterre,Angleterre,True
EFL Championship,Premier League,0.0008093170995804,0.0002430123063428,0.0445673821401418,0.0003635665324167,5.239211631585957e-05,0.0001442127791665,3.163041012126701e-05,0.9537588331062354,6.026803525952414e-06,2.3626706152983127e-05,True,Angleterre,Angleterre,True
