y_true,y_pred,prob_class_Bundesliga,prob_class_Bundesliga 2,prob_class_EFL Championship,prob_class_LaLiga,prob_class_LaLiga 2,prob_class_Ligue 1,prob_class_Ligue 2,prob_class_Premier League,prob_class_Serie A,prob_class_Serie B,erreur,pays_true,pays_pred,meme_pays
EFL Championship,Premier League,0.00053244765,0.00288088,0.44393426,0.00016010801,0.0012200368,0.00052739575,0.0011759573,0.54518354,0.0002499176,0.0041354415,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.0026766125,0.0015245584,0.8406074,0.009774394,0.00040969395,0.0006827529,0.0006879822,0.14256673,0.0006110882,0.00045873283,True,Angleterre,Angleterre,True
EFL Championship,Premier League,0.0053156153,0.00095919246,0.42315042,0.0050079077,0.0012753096,0.005107696,0.0006797614,0.5566259,0.0006889658,0.0011892334,True,Angleterre,Angleterre,True
LaLiga 2,LaLiga,0.00017682125,0.0023120584,0.0018092894,0.49345222,0.48691782,0.00039862795,0.0063034277,0.001768393,7.8744386e-05,0.0067825806,True,Espagne,Espagne,True
Ligue 2,EFL Championship,0.0012681639,0.008176404,0.5309319,0.00028846064,0.056854967,0.02173434,0.34169823,0.0011962702,0.0045175063,0.03333379,True,France,Angleterre,False
LaLiga 2,EFL Championship,0.0015518445,0.038903065,0.36154714,0.11968326,0.09429073,0.0022063942,0.0042111976,0.023174249,0.31968614,0.034745954,True,Espagne,Angleterre,False
LaLiga,LaLiga 2,0.0015439946,0.0015513538,0.0065932125,0.4243123,0.5566686,0.00062777667,0.0051398897,0.00027641223,0.0007196238,0.0025668305,True,Espagne,Espagne,True
Bundesliga 2,EFL Championship,0.004548338,0.34139878,0.41552344,0.00792602,0.037653565,0.0037910063,0.0003979605,0.16692029,0.015095409,0.0067452025,True,Allemagne,Angleterre,False
Bundesliga 2,Bundesliga,0.9673876,0.014040783,0.014220286,0.00033003234,0.0010334449,0.0004725724,0.0010395001,0.0005825076,0.00069730397,0.00019592914,True,Allemagne,Allemagne,True
Serie B,Serie A,0.00031004177,0.0003534223,0.0002740159,0.00013128345,0.003341411,0.0001354051,1.0682072e-05,0.00017349407,0.99190336,0.0033669418,True,Italie,Italie,True
Premier League,EFL Championship,0.00036491547,0.0016416765,0.7501009,0.0013787791,0.0007415217,0.00057821325,0.0013403586,0.24290828,0.000485042,0.0004602865,True,Angleterre,Angleterre,True
Serie A,Serie B,0.0027738432,0.009360141,0.028943678,0.0014439353,0.022196567,0.004656908,0.004909658,0.03739619,0.33035174,0.55796736,True,Italie,Italie,True
EFL Championship,Premier League,6.777783e-05,0.00017292215,0.38269335,6.488565e-05,4.9910508e-05,3.2441294e-05,0.00022045609,0.61661714,3.447175e-05,4.6661407e-05,True,Angleterre,Angleterre,True
Serie B,Ligue 2,0.022176081,0.009630518,0.05298672,0.03731254,0.027875042,0.07998682,0.4187108,0.22265816,0.0718,0.056863293,True,Italie,France,False
Serie A,Serie B,0.0028038877,0.01725447,0.031046746,0.011240114,0.006623492,0.005404135,0.00222899,0.0016601676,0.30398548,0.61775255,True,Italie,Italie,True
Bundesliga 2,Bundesliga,0.9068232,0.021708233,0.011310038,0.0138978,0.0025892328,0.005243742,0.000119921635,0.034095395,0.003277203,0.0009352292,True,Allemagne,Allemagne,True
Bundesliga,Bundesliga 2,0.03273862,0.6578165,0.18023002,0.0009278553,0.0006220124,0.008107335,0.00807418,0.088230014,0.00037830058,0.022875167,True,Allemagne,Allemagne,True
Premier League,EFL Championship,0.0010752273,0.00065620756,0.7091494,0.02478457,0.011354952,0.0011223273,0.0001207229,0.25143296,0.00012408887,0.00017948521,True,Angleterre,Angleterre,True
LaLiga 2,Ligue 2,6.318527e-05,0.037403125,0.098128065,0.043787055,0.21962067,0.00038149446,0.5582184,0.0007820558,0.0029052824,0.038710665,True,Espagne,France,False
Ligue 2,Ligue 1,0.00022506498,0.0014202064,0.025557585,0.0004562108,0.084258445,0.53292954,0.33825576,0.003830232,0.0010440819,0.012022873,True,France,France,True
Premier League,EFL Championship,0.016775886,0.0046024155,0.6825804,0.008394781,0.007825248,0.0022118166,0.00048178766,0.27632853,0.0006872818,0.000111856025,True,Angleterre,Angleterre,True
Ligue 2,EFL Championship,0.00040857994,0.0032309222,0.63633597,0.00012226512,0.0070618507,0.007579982,0.28994617,0.0021354503,0.009464714,0.043714117,True,France,Angleterre,False
Premier League,EFL Championship,0.00025787822,0.0010622428,0.6931365,0.001350026,0.00027431798,0.0011913381,0.001357151,0.30015802,0.0002665341,0.00094593724,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.00034083202,0.0016632504,0.74514353,0.00020701134,0.0011366919,0.00036254022,0.001239356,0.21122748,0.0042191003,0.034460258,True,Angleterre,Angleterre,True
LaLiga 2,LaLiga,0.0011347752,0.007800111,0.0025900893,0.6867863,0.294555,0.0026872824,6.463818e-05,0.0018352617,0.00015006615,0.0023963917,True,Espagne,Espagne,True
EFL Championship,Premier League,2.0423291e-05,0.010894502,0.3064328,0.0019825646,0.011156453,0.00025165654,0.006549408,0.62426066,0.01571327,0.022738282,True,Angleterre,Angleterre,True
LaLiga 2,Bundesliga 2,0.00096005277,0.6542413,0.12928133,3.2721407e-05,0.13043012,0.00089329615,0.05645092,0.00010210341,0.0005723685,0.027035782,True,Espagne,Allemagne,False
Premier League,EFL Championship,0.00076157466,0.02822967,0.7606866,0.00044050626,0.0031025962,0.00096569885,0.016636906,0.18642323,0.001980929,0.00077234255,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.00015058882,0.00012511248,0.9572602,0.0003589082,0.00014377893,0.00021346316,1.3611216e-05,0.041219007,0.00047311748,4.2264397e-05,True,Angleterre,Angleterre,True
LaLiga 2,LaLiga,0.011599876,0.054699086,0.0077704843,0.69113904,0.19108705,0.02196929,0.0018128247,0.00086026144,0.0019650965,0.017096978,True,Espagne,Espagne,True
Serie A,Serie B,0.00036950017,0.0066328687,0.0749408,0.00041154926,0.06243934,0.00096936396,0.00016684596,0.00028816194,0.03873477,0.81504685,True,Italie,Italie,True
