ANALYSE EN COMPOSANTES PRINCIPALES (PCA)
==================================================

Nombre de composantes expliquant 95% de la variance: 21

Variance expliquée par composante:
Composante 1: 0.1214 (0.1214 cumulé)
Composante 2: 0.1007 (0.2221 cumulé)
Composante 3: 0.0813 (0.3034 cumulé)
Composante 4: 0.0726 (0.3760 cumulé)
Composante 5: 0.0626 (0.4386 cumulé)
Composante 6: 0.0577 (0.4963 cumulé)
Composante 7: 0.0487 (0.5451 cumulé)
Composante 8: 0.0435 (0.5886 cumulé)
Composante 9: 0.0417 (0.6303 cumulé)
Composante 10: 0.0366 (0.6669 cumulé)
Composante 11: 0.0360 (0.7029 cumulé)
Composante 12: 0.0333 (0.7363 cumulé)
Composante 13: 0.0307 (0.7670 cumulé)
Composante 14: 0.0278 (0.7947 cumulé)
Composante 15: 0.0270 (0.8217 cumulé)
Composante 16: 0.0265 (0.8482 cumulé)
Composante 17: 0.0254 (0.8736 cumulé)
Composante 18: 0.0244 (0.8980 cumulé)
Composante 19: 0.0235 (0.9215 cumulé)
Composante 20: 0.0186 (0.9401 cumulé)
Composante 21: 0.0124 (0.9525 cumulé)
Composante 22: 0.0118 (0.9643 cumulé)
Composante 23: 0.0099 (0.9742 cumulé)
Composante 24: 0.0063 (0.9805 cumulé)
Composante 25: 0.0038 (0.9842 cumulé)
Composante 26: 0.0037 (0.9879 cumulé)
Composante 27: 0.0028 (0.9908 cumulé)
Composante 28: 0.0022 (0.9929 cumulé)
Composante 29: 0.0021 (0.9950 cumulé)
Composante 30: 0.0016 (0.9967 cumulé)
Composante 31: 0.0012 (0.9979 cumulé)
Composante 32: 0.0009 (0.9987 cumulé)
Composante 33: 0.0006 (0.9994 cumulé)
Composante 34: 0.0006 (1.0000 cumulé)
Composante 35: 0.0000 (1.0000 cumulé)
Composante 36: 0.0000 (1.0000 cumulé)
Composante 37: 0.0000 (1.0000 cumulé)
Composante 38: 0.0000 (1.0000 cumulé)
Composante 39: 0.0000 (1.0000 cumulé)
Composante 40: 0.0000 (1.0000 cumulé)
Composante 41: 0.0000 (1.0000 cumulé)
Composante 42: 0.0000 (1.0000 cumulé)
Composante 43: 0.0000 (1.0000 cumulé)
Composante 44: 0.0000 (1.0000 cumulé)
Composante 45: 0.0000 (1.0000 cumulé)
